,traveled_kilometers,production_year,color,exhibition,adـtype,name_brand,car_name,fuel,engine_status,chassis_status,front_chassis,rear_chassis,body_status,insurance,gearbox,exchange,price
8,174000.0,1387.0,نوک‌مدادی,,,پژو روآ دوگانه سوز,pjw rwa dwgnh swz,دوگانه‌سوز شرکتی,سالم,سالم و پلمپ,,,خط و خش جزیی,6.0,دنده‌ای,,142000000.0
9,97000.0,1398.0,خاکستری,,فروشی,دانگ فنگ H30 کراس,dng fng H30 khrs,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,اتوماتیک,,635000000.0
10,0.0,1402.0,مشکی,,فروشی,سمند سورن پلاس,smnd swrn pls,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,دنده‌ای,,620000000.0
11,26000.0,1400.0,سفید,,فروشی,شاهین G,shhyn G,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,9.0,دنده‌ای,,525000000.0
12,420000.0,1389.0,آبی,,,وانت مزدا 2000 تک کابین بنزینی,wnt mzd 2000 tkh khbyn bnzyny,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,1.0,دنده‌ای,,398000000.0
13,25000.0,1396.0,سفید,,,دنا معمولی,dn m`mwly,بنزینی,سالم,سالم و پلمپ,,,رنگ‌شدگی، در ۱ ناحیه,8.0,دنده‌ای,,460000000.0
14,8000.0,1401.0,آبی,,,زامیاد Z 24 دوگانه سوز آپشنال,zmyd Z 24 dwgnh swz apshnl,دوگانه‌سوز شرکتی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,3.0,,,575000000.0
15,270000.0,1388.0,سفید,,,نیسان پیکاپ دو کابین,nysn pykhp dw khbyn,بنزینی,سالم,سالم و پلمپ,,,تمام‌رنگ,1.0,دنده‌ای,هستم,810000000.0
16,250000.0,1393.0,سفید,,,پراید 111 SE,pryd 111 SE,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,4.0,دنده‌ای,,240000000.0
17,54000.0,1398.0,سفید,,فروشی,پراید 111 SE,pryd 111 SE,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,دنده‌ای,,282000000.0
18,400000.0,1388.0,سفید,,,پیکان وانت CNG,pykhn wnt CNG,دوگانه‌سوز شرکتی,سالم,,ضربه‌خورده,سالم و پلمپ,رنگ‌شدگی,9.0,دنده‌ای,,158000000.0
19,298000.0,1385.0,خاکستری,,,پژو 206 تیپ ۲,pjw 206 typ 2,بنزینی,سالم,سالم و پلمپ,,,دوررنگ,1.0,دنده‌ای,هستم,230000000.0
20,188000.0,1394.0,سفید,,فروشی,پژو 206 تیپ ۵,pjw 206 typ 5,بنزینی,سالم,سالم و پلمپ,,,رنگ‌شدگی,7.0,دنده‌ای,هستم,355000000.0
